зверьми	NOUN,anim,masc plur,ablt,Arch
начиналось	VERB,impf,intr neut,sing,past,indc
призвал	VERB,perf,tran masc,sing,past,indc
чьей	ADJF,Apro femn,sing,gent
чьей	ADJF,Apro femn,sing,ablt
чьей	ADJF,Apro femn,sing,loct
чьей	ADJF,Apro femn,sing,datv
ковылял	VERB,impf,intr masc,sing,past,indc
обманчиво	ADJS,Qual neut,sing
подвесьте	VERB,perf,tran plur,impr,excl
ушиб	VERB,perf,tran masc,sing,past,indc
ушиб	NOUN,inan,masc sing,nomn
ушиб	NOUN,inan,masc sing,accs
воротца	NOUN,inan,GNdr,Pltm plur,nomn
воротца	NOUN,inan,GNdr,Pltm plur,accs
века	NOUN,inan,masc sing,gent
века	NOUN,inan,neut sing,gent
века	NOUN,inan,masc plur,nomn
века	NOUN,inan,masc plur,accs
здравствуй	VERB,impf,intr sing,impr,excl
здравствуй	INTJ
смешная	ADJF,Qual femn,sing,nomn
театре	NOUN,inan,masc sing,loct
пухлый	ADJF,Qual masc,sing,nomn
пухлый	ADJF,Qual inan,masc,sing,accs
кошачье	ADJF,Poss neut,sing,nomn
кошачье	ADJF,Poss neut,sing,accs
ришды-тархана	NOUN,anim,masc,Name sing,gent
ришды-тархана	NOUN,anim,masc,Name sing,accs
ришды-тархана	NOUN,inan,masc sing,gent
ришды-тархана	NOUN,anim,masc sing,gent
ришды-тархана	NOUN,anim,masc sing,accs
расспрашивать	INFN,impf,tran
немало	ADVB
немало	ADJS neut,sing
немало	NUMR nomn
немало	NUMR accs
возвестил	VERB,perf,tran masc,sing,past,indc
койки	NOUN,inan,femn sing,gent
койки	NOUN,inan,femn plur,nomn
койки	NOUN,inan,femn plur,accs
свете	NOUN,inan,masc,Sgtm sing,loct
свете	NOUN,anim,femn,Name sing,datv
свете	NOUN,anim,femn,Name sing,loct
возвратился	VERB,perf,intr masc,sing,past,indc
часть	NOUN,inan,femn sing,nomn
часть	NOUN,inan,femn sing,accs
гнусной	ADJF,Qual femn,sing,datv
гнусной	ADJF,Qual femn,sing,gent
гнусной	ADJF,Qual femn,sing,ablt
гнусной	ADJF,Qual femn,sing,loct
сталкивались	VERB,impf,intr plur,past,indc
захвати	VERB,perf,tran sing,impr,excl
обычная	ADJF,Qual femn,sing,nomn
стрелой	NOUN,inan,femn sing,ablt
неделями	NOUN,inan,femn plur,ablt
заковыляли	VERB,perf,intr plur,past,indc
постоянное	ADJF,Qual neut,sing,nomn
постоянное	ADJF,Qual neut,sing,accs
доступное	ADJF,Qual neut,sing,nomn
доступное	ADJF,Qual neut,sing,accs
концов	NOUN,inan,masc plur,gent
выставлять	INFN,impf,tran
обгонял	VERB,impf,tran masc,sing,past,indc
сражении	NOUN,inan,neut sing,loct
каспианом	NOUN,inan,masc sing,ablt
каспианом	NOUN,anim,masc,Name sing,ablt
кавалерии	NOUN,inan,femn sing,gent
кавалерии	NOUN,inan,femn sing,datv
кавалерии	NOUN,inan,femn sing,loct
кавалерии	NOUN,inan,femn plur,nomn
кавалерии	NOUN,inan,femn plur,accs
прибавила	VERB,perf,tran femn,sing,past,indc
приснились	VERB,perf,intr plur,past,indc
потухнут	VERB,perf,intr plur,3per,futr,indc
пирожки	NOUN,inan,masc plur,accs
пирожки	NOUN,inan,masc plur,nomn
сможешь	VERB,perf,intr sing,2per,futr,indc
даффл	NOUN,inan,masc sing,nomn
даффл	NOUN,inan,masc sing,accs
выдумка	NOUN,inan,femn sing,nomn
скалы	NOUN,inan,femn sing,gent
скалы	NOUN,inan,masc plur,nomn
скалы	NOUN,inan,masc plur,accs
скалы	NOUN,inan,femn plur,nomn
скалы	NOUN,inan,femn plur,accs
похвально	ADVB
похвально	ADJS,Qual neut,sing
противоположней	COMP V-ej
былая	ADJF femn,sing,nomn
понудила	VERB,perf,tran femn,sing,past,indc
встреч	NOUN,inan,femn plur,gent
дверцу	NOUN,inan,femn sing,accs
трогаю	VERB,impf,tran sing,1per,pres,indc
уставал	VERB,impf,intr masc,sing,past,indc
неразумными	ADJF,Qual plur,ablt
синяки	NOUN,inan,masc plur,nomn
синяки	NOUN,inan,masc plur,accs
извлёк	VERB,perf,tran masc,sing,past,indc
проникнете	VERB,perf,intr plur,2per,futr,indc
фу	INTJ
с	PREP
с	NOUN,inan,femn,Fixd,Abbr sing,nomn
с	NOUN,inan,femn,Fixd,Abbr sing,gent
с	NOUN,inan,femn,Fixd,Abbr sing,datv
с	NOUN,inan,femn,Fixd,Abbr sing,accs
с	NOUN,inan,femn,Fixd,Abbr sing,ablt
с	NOUN,inan,femn,Fixd,Abbr sing,loct
с	NOUN,inan,femn,Fixd,Abbr plur,nomn
с	NOUN,inan,femn,Fixd,Abbr plur,gent
с	NOUN,inan,femn,Fixd,Abbr plur,datv
с	NOUN,inan,femn,Fixd,Abbr plur,accs
с	NOUN,inan,femn,Fixd,Abbr plur,ablt
с	NOUN,inan,femn,Fixd,Abbr plur,loct
с	NOUN,inan,neut,Fixd,Abbr sing,nomn
с	NOUN,inan,neut,Fixd,Abbr sing,gent
с	NOUN,inan,neut,Fixd,Abbr sing,datv
с	NOUN,inan,neut,Fixd,Abbr sing,accs
с	NOUN,inan,neut,Fixd,Abbr sing,ablt
с	NOUN,inan,neut,Fixd,Abbr sing,loct
с	NOUN,inan,neut,Fixd,Abbr plur,nomn
с	NOUN,inan,neut,Fixd,Abbr plur,gent
с	NOUN,inan,neut,Fixd,Abbr plur,datv
с	NOUN,inan,neut,Fixd,Abbr plur,accs
с	NOUN,inan,neut,Fixd,Abbr plur,ablt
с	NOUN,inan,neut,Fixd,Abbr plur,loct
с	NOUN,anim,masc,Sgtm,Name,Fixd,Abbr,Init sing,nomn
с	NOUN,anim,masc,Sgtm,Name,Fixd,Abbr,Init sing,gent
с	NOUN,anim,masc,Sgtm,Name,Fixd,Abbr,Init sing,datv
с	NOUN,anim,masc,Sgtm,Name,Fixd,Abbr,Init sing,accs
с	NOUN,anim,masc,Sgtm,Name,Fixd,Abbr,Init sing,ablt
с	NOUN,anim,masc,Sgtm,Name,Fixd,Abbr,Init sing,loct
с	NOUN,anim,femn,Sgtm,Name,Fixd,Abbr,Init sing,nomn
с	NOUN,anim,femn,Sgtm,Name,Fixd,Abbr,Init sing,gent
с	NOUN,anim,femn,Sgtm,Name,Fixd,Abbr,Init sing,datv
с	NOUN,anim,femn,Sgtm,Name,Fixd,Abbr,Init sing,accs
с	NOUN,anim,femn,Sgtm,Name,Fixd,Abbr,Init sing,ablt
с	NOUN,anim,femn,Sgtm,Name,Fixd,Abbr,Init sing,loct
с	NOUN,anim,masc,Sgtm,Patr,Fixd,Abbr,Init sing,nomn
с	NOUN,anim,masc,Sgtm,Patr,Fixd,Abbr,Init sing,gent
с	NOUN,anim,masc,Sgtm,Patr,Fixd,Abbr,Init sing,datv
с	NOUN,anim,masc,Sgtm,Patr,Fixd,Abbr,Init sing,accs
с	NOUN,anim,masc,Sgtm,Patr,Fixd,Abbr,Init sing,ablt
с	NOUN,anim,masc,Sgtm,Patr,Fixd,Abbr,Init sing,loct
с	NOUN,anim,femn,Sgtm,Patr,Fixd,Abbr,Init sing,nomn
с	NOUN,anim,femn,Sgtm,Patr,Fixd,Abbr,Init sing,gent
с	NOUN,anim,femn,Sgtm,Patr,Fixd,Abbr,Init sing,datv
с	NOUN,anim,femn,Sgtm,Patr,Fixd,Abbr,Init sing,accs
с	NOUN,anim,femn,Sgtm,Patr,Fixd,Abbr,Init sing,ablt
с	NOUN,anim,femn,Sgtm,Patr,Fixd,Abbr,Init sing,loct
описывал	VERB,impf,tran masc,sing,past,indc
осла	NOUN,anim,masc sing,gent
осла	NOUN,anim,masc sing,accs
поворот	NOUN,inan,masc sing,nomn
поворот	NOUN,inan,masc sing,accs
портрет	NOUN,inan,masc sing,accs
портрет	NOUN,inan,masc sing,nomn
картина	NOUN,inan,femn sing,nomn
миль	NOUN,inan,femn plur,gent
устало	VERB,perf,intr neut,sing,past,indc
устало	ADVB
устало	ADJS neut,sing
обезьяне	NOUN,anim,femn sing,datv
обезьяне	NOUN,anim,femn sing,loct
прогулки	NOUN,inan,femn sing,gent
прогулки	NOUN,inan,femn plur,nomn
прогулки	NOUN,inan,femn plur,accs
помосте	NOUN,inan,masc sing,loct
пролетев	GRND,perf,tran past
овевал	VERB,impf,tran masc,sing,past,indc
посмеешь	VERB,perf,intr sing,2per,futr,indc
менял	VERB,impf,tran masc,sing,past,indc
менял	NOUN,anim,masc plur,gent
менял	NOUN,anim,masc plur,accs
синевы	NOUN,inan,femn,Sgtm sing,gent
притворяйтесь	VERB,impf,intr plur,impr,excl
тайную	ADJF femn,sing,accs
вереск	NOUN,inan,masc sing,nomn
вереск	NOUN,inan,masc sing,accs
прежних	ADJF plur,gent
прежних	ADJF anim,plur,accs
прежних	ADJF plur,loct
вз-з	NOUN,inan,masc,Orgn sing,nomn
вз-з	NOUN,inan,masc,Orgn sing,accs
вз-з	ADJS,Qual masc,sing
вз-з	VERB,perf,intr masc,sing,past,indc
вз-з	ADVB
придерживая	GRND,impf,tran pres
школьный	ADJF,Qual masc,sing,nomn
школьный	ADJF,Qual inan,masc,sing,accs
опасаюсь	VERB,impf,intr sing,1per,pres,indc
состоянии	NOUN,inan,neut sing,loct
осмеливаются	VERB,impf,intr plur,3per,pres,indc
бились	VERB,impf,intr plur,past,indc
владеть	INFN,impf,intr
побледнев	GRND,perf,intr past
берна	NOUN,inan,masc,Geox sing,gent
поладили	VERB,perf,tran plur,past,indc
дворцу	NOUN,inan,masc sing,datv
зеленовато-синим	ADJF masc,sing,ablt
зеленовато-синим	ADJF neut,sing,ablt
зеленовато-синим	ADJF plur,datv
началось	VERB,perf,intr neut,sing,past,indc
подслушала	VERB,perf,tran femn,sing,past,indc
ринсом	NOUN,anim,masc sing,nomn
ринсом	NOUN,inan,femn plur,gent
ринсом	NOUN,anim,masc,Name sing,ablt
отвечают	VERB,impf,intr plur,3per,pres,indc
конюшни	NOUN,inan,femn sing,gent
конюшни	NOUN,inan,femn plur,nomn
конюшни	NOUN,inan,femn plur,accs
угощайся	VERB,impf,intr sing,impr,excl
хвосте	NOUN,inan,masc sing,loct
сени	NOUN,inan,GNdr,Pltm plur,nomn
сени	NOUN,inan,GNdr,Pltm plur,accs
сени	NOUN,anim,masc,Name sing,gent
сени	NOUN,anim,masc,Name plur,nomn
сени	NOUN,inan,femn,Sgtm sing,gent
сени	NOUN,inan,femn,Sgtm sing,datv
сени	NOUN,inan,femn,Sgtm sing,loct
сени	NOUN,inan,femn,Sgtm sing,loc2
терьера	NOUN,anim,masc sing,gent
терьера	NOUN,anim,masc sing,accs
пролезть	INFN,perf,intr
сомневаться	INFN,impf,intr
богов	NOUN,anim,masc plur,gent
богов	NOUN,anim,masc plur,accs
нарнийского	ADJF masc,sing,gent
нарнийского	ADJF anim,masc,sing,accs
нарнийского	ADJF neut,sing,gent
нарнийского	NOUN,anim,masc,Sgtm,Surn sing,gent
нарнийского	NOUN,anim,masc,Sgtm,Surn sing,accs
пройдите	VERB,perf,tran plur,impr,excl
замирал	VERB,impf,intr masc,sing,past,indc
торопиться	INFN,impf,intr
кормить	INFN,impf,tran
прах	NOUN,inan,masc sing,nomn
прах	NOUN,inan,masc sing,accs
паутина	NOUN,inan,femn sing,nomn
покупками	NOUN,inan,femn plur,ablt
стену	NOUN,inan,masc sing,datv
стену	NOUN,inan,femn sing,accs
хотелось	VERB,impf,intr,Impe neut,sing,past,indc
колене	NOUN,inan,neut sing,loct
обошёлся	VERB,perf,intr masc,sing,past,indc
дышали	VERB,impf,intr plur,past,indc
гальма	NOUN,inan,femn,Sgtm,Geox sing,nomn
гальма	NOUN,inan,masc sing,gent
гальма	NOUN,inan,femn sing,nomn
задумался	VERB,perf,intr masc,sing,past,indc
дрожала	VERB,impf,intr femn,sing,past,indc
золотого	NOUN,inan,masc sing,gent
золотого	ADJF masc,sing,gent
золотого	ADJF anim,masc,sing,accs
золотого	ADJF neut,sing,gent
безобразия	NOUN,inan,neut sing,gent
безобразия	NOUN,inan,neut plur,nomn
безобразия	NOUN,inan,neut plur,accs
раскачивая	GRND,impf,tran pres
перебежать	INFN,perf,tran
колоса	NOUN,inan,masc sing,gent
золотисто-рыжая	ADJF,Qual femn,sing,nomn
дождалась	VERB,perf,intr femn,sing,past,indc
поскорее	COMP,Qual Cmp2
слышалась	VERB,impf,intr femn,sing,past,indc
предание	NOUN,inan,neut sing,nomn
предание	NOUN,inan,neut sing,accs
где	ADVB,Ques
где	CONJ
прошамкал	VERB,perf,tran masc,sing,past,indc
хорошим	ADJF,Qual plur,datv
хорошим	ADJF,Qual masc,sing,ablt
хорошим	ADJF,Qual neut,sing,ablt
сами	ADJF,Apro plur,nomn
сами	ADJF,Apro inan,plur,accs
стыдно	ADVB
стыдно	ADJS,Qual neut,sing
стыдно	PRED,pres
глупо	ADVB,Prdx
глупо	ADJS,Qual neut,sing
носом	NOUN,inan,masc sing,ablt
флакончик	NOUN,inan,masc sing,accs
флакончик	NOUN,inan,masc sing,nomn
буду	VERB,impf,intr sing,1per,futr,indc
косматому	ADJF,Qual masc,sing,datv
косматому	ADJF,Qual neut,sing,datv
главным	NOUN,inan,neut sing,ablt
главным	NOUN,inan,neut plur,datv
главным	ADJF,Qual masc,sing,ablt
главным	ADJF,Qual neut,sing,ablt
главным	ADJF,Qual plur,datv
окружают	VERB,impf,tran plur,3per,pres,indc
долины	NOUN,inan,femn sing,gent
долины	NOUN,inan,femn plur,nomn
долины	NOUN,inan,femn plur,accs
лезьте	VERB,impf,intr plur,impr,excl
втроём	ADVB
танцуя	GRND,impf,tran pres
отойди	VERB,perf,intr sing,impr,excl
подвергнуть	INFN,perf,tran
полезу	VERB,perf,intr sing,1per,futr,indc
понесли	VERB,perf,tran plur,past,indc
выплывают	VERB,impf,intr plur,3per,pres,indc
приободрить	INFN,perf,tran
предстало	VERB,perf,intr neut,sing,past,indc
чепуха	NOUN,inan,femn,Sgtm sing,nomn
моя	ADJF,Apro femn,sing,nomn
моя	GRND,impf,tran pres
тяжёлый	ADJF,Qual masc,sing,nomn
тяжёлый	ADJF,Qual inan,masc,sing,accs
отцов	ADJF,Poss masc,sing,nomn
отцов	ADJF,Poss inan,masc,sing,accs
отцов	NOUN,anim,masc plur,gent
отцов	NOUN,anim,masc plur,accs
нужна	ADJS,Qual femn,sing
блёклых	ADJF,Qual plur,gent
блёклых	ADJF,Qual anim,plur,accs
блёклых	ADJF,Qual plur,loct
точки	NOUN,inan,femn sing,gent
точки	NOUN,inan,femn plur,accs
точки	NOUN,inan,femn plur,nomn
гуляет	VERB,impf,intr sing,3per,pres,indc
корзинкой	NOUN,inan,femn sing,ablt
колечки	NOUN,inan,neut plur,nomn
колечки	NOUN,inan,neut plur,accs
бесконечные	ADJF,Qual plur,nomn
бесконечные	ADJF,Qual inan,plur,accs
запрыгали	VERB,perf,intr plur,past,indc
шпили	NOUN,inan,masc plur,nomn
шпили	NOUN,inan,masc plur,accs
припугнуть	INFN,perf,tran
двигаясь	GRND,impf,intr pres
строки	NOUN,inan,femn sing,gent
строки	NOUN,inan,femn plur,nomn
строки	NOUN,inan,femn plur,accs
предателем	NOUN,anim,masc sing,ablt
пятый	ADJF,Anum masc,sing,nomn
пятый	ADJF,Anum inan,masc,sing,accs
дубинку	NOUN,inan,femn sing,accs
узколобыми	ADJF,Qual plur,ablt
аккуратные	ADJF,Qual plur,nomn
аккуратные	ADJF,Qual inan,plur,accs
поженились	VERB,perf,intr plur,past,indc
коленные	ADJF,Qual inan,plur,accs
коленные	ADJF,Qual plur,nomn
верзилы	NOUN,anim,femn,Ms-f sing,gent
верзилы	NOUN,anim,femn,Ms-f plur,nomn
расколол	VERB,perf,tran masc,sing,past,indc
приснилось	VERB,perf,intr neut,sing,past,indc
ударов	NOUN,inan,masc plur,gent
наступает	VERB,impf,intr sing,3per,pres,indc
забавы	NOUN,inan,femn sing,gent
забавы	NOUN,inan,femn plur,nomn
забавы	NOUN,inan,femn plur,accs
сдёрнул	VERB,perf,tran masc,sing,past,indc
сломается	VERB,perf,intr sing,3per,futr,indc
полуют	NOUN,inan,masc sing,nomn
полуют	NOUN,inan,masc sing,accs
укутайся	VERB,perf,intr sing,impr,excl
домашняя	ADJF femn,sing,nomn
поверьте	CONJ,Prnt
поверьте	VERB,perf,intr plur,impr,excl
поверьте	VERB,perf,tran plur,impr,excl
пискливо	ADJS,Qual neut,sing
прохладном	ADJF,Qual masc,sing,loct
прохладном	ADJF,Qual neut,sing,loct
отставая	GRND,impf,intr pres
спускавшийся	PRTF,impf,intr,past,actv masc,sing,nomn
спускавшийся	PRTF,impf,intr,past,actv inan,masc,sing,accs
темно-зелёное	ADJF neut,sing,nomn
темно-зелёное	ADJF neut,sing,accs
жареная	ADJF femn,sing,nomn
вход	NOUN,inan,masc sing,nomn
вход	NOUN,inan,masc sing,accs
вожжи	NOUN,inan,femn sing,gent
вожжи	NOUN,inan,femn plur,nomn
вожжи	NOUN,inan,femn plur,accs
семь	NUMR nomn
семь	NUMR accs
восемнадцать	NUMR nomn
восемнадцать	NUMR accs
недель	NOUN,inan,femn plur,gent
босоногого	ADJF masc,sing,gent
босоногого	ADJF anim,masc,sing,accs
босоногого	ADJF neut,sing,gent
одеты	ADJS,Qual plur
одеты	PRTS,perf,past,pssv plur
крошки	NOUN,inan,femn sing,gent
крошки	NOUN,inan,femn plur,nomn
крошки	NOUN,inan,femn plur,accs
крошки	NOUN,anim,femn,Ms-f sing,gent
крошки	NOUN,anim,femn,Ms-f plur,nomn
обезьяном	NOUN,anim,masc,Name sing,ablt
обезьяном	ADJF,Qual masc,sing,loct
обезьяном	ADJF,Qual neut,sing,loct
обезьяном	ADJF,Qual masc,sing,loct
обезьяном	ADJF,Qual neut,sing,loct
обезьяном	ADJF masc,sing,loct
обезьяном	ADJF neut,sing,loct
людские	NOUN,inan,femn plur,nomn
людские	NOUN,inan,femn plur,accs
людские	ADJF plur,nomn
людские	ADJF inan,plur,accs
небывало	ADJS,Qual neut,sing
забросил	VERB,perf,tran masc,sing,past,indc
смущать	INFN,impf,tran
облачению	NOUN,inan,neut sing,datv
покатились	VERB,perf,intr plur,past,indc
скудной	ADJF,Qual femn,sing,gent
скудной	ADJF,Qual femn,sing,datv
скудной	ADJF,Qual femn,sing,ablt
скудной	ADJF,Qual femn,sing,loct
развязал	VERB,perf,tran masc,sing,past,indc
трясти	INFN,impf,tran
кто	NPRO,masc sing,nomn
открытый	ADJF,Qual masc,sing,nomn
открытый	ADJF,Qual inan,masc,sing,accs
открытый	PRTF,perf,tran,past,pssv masc,sing,nomn
открытый	PRTF,perf,tran,past,pssv inan,masc,sing,accs
джеффри	NOUN,anim,masc,Fixd,Name sing,nomn
джеффри	NOUN,anim,masc,Fixd,Name sing,gent
джеффри	NOUN,anim,masc,Fixd,Name sing,datv
джеффри	NOUN,anim,masc,Fixd,Name sing,accs
джеффри	NOUN,anim,masc,Fixd,Name sing,ablt
джеффри	NOUN,anim,masc,Fixd,Name sing,loct
джеффри	NOUN,anim,masc,Fixd,Name plur,nomn
джеффри	NOUN,anim,masc,Fixd,Name plur,gent
джеффри	NOUN,anim,masc,Fixd,Name plur,datv
джеффри	NOUN,anim,masc,Fixd,Name plur,accs
джеффри	NOUN,anim,masc,Fixd,Name plur,ablt
джеффри	NOUN,anim,masc,Fixd,Name plur,loct
полоску	NOUN,inan,femn sing,accs
дамы	NOUN,anim,femn plur,nomn
дамы	NOUN,anim,femn sing,gent
собравшихся	PRTF,perf,intr,past,actv plur,gent
собравшихся	PRTF,perf,intr,past,actv anim,plur,accs
собравшихся	PRTF,perf,intr,past,actv plur,loct
мало-помалу	ADVB
пробасила	VERB,perf,tran femn,sing,past,indc
редиски	NOUN,inan,femn sing,gent
редиски	NOUN,inan,femn plur,nomn
редиски	NOUN,inan,femn plur,accs
оружию	NOUN,inan,neut sing,datv
охранять	INFN,impf,tran
переспросили	VERB,perf,tran plur,past,indc
некурящий	ADJF masc,sing,nomn
некурящий	ADJF inan,masc,sing,accs
ссорились	VERB,impf,intr plur,past,indc
комнатку	NOUN,inan,femn sing,accs
капитаном	NOUN,anim,masc sing,ablt
ах!	UNKN
капюшоном	NOUN,inan,masc sing,ablt
он-то	NPRO,masc,3per,Anph sing,nomn
чистому	ADJF,Qual masc,sing,datv
чистому	ADJF,Qual neut,sing,datv
невысокая	ADJF femn,sing,nomn
разразилась	VERB,perf,intr femn,sing,past,indc
учили	VERB,impf,tran plur,past,indc
туника	NOUN,inan,femn sing,nomn
невкусные	ADJF,Qual plur,nomn
невкусные	ADJF,Qual inan,plur,accs
ледяном	ADJF masc,sing,loct
ледяном	ADJF neut,sing,loct
дорне	NOUN,inan,masc sing,loct
правление	NOUN,inan,neut sing,nomn
правление	NOUN,inan,neut sing,accs
сдаются	VERB,impf,intr plur,3per,pres,indc
тараторка	NOUN,anim,femn,Ms-f sing,nomn
населявших	PRTF,impf,tran,past,actv plur,gent
населявших	PRTF,impf,tran,past,actv anim,plur,accs
населявших	PRTF,impf,tran,past,actv plur,loct
объяснять	INFN,impf,tran
сомнёт	VERB,perf,tran sing,3per,futr,indc
темнели	VERB,impf,intr plur,past,indc
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,nomn
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,gent
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,datv
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,accs
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,ablt
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,loct
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,nomn
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,gent
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,datv
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,accs
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,ablt
красных	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,loct
красных	ADJF,Qual plur,gent
красных	ADJF,Qual anim,plur,accs
красных	ADJF,Qual plur,loct
красных	NOUN,anim,masc plur,gent
красных	NOUN,anim,masc plur,accs
красных	NOUN,anim,masc plur,loct
красных	NOUN,inan,neut,Geox plur,gent
красных	NOUN,inan,neut,Geox plur,loct
свершится	VERB,perf,intr sing,3per,futr,indc
блеске	NOUN,inan,masc sing,loct
займи	VERB,perf,tran sing,impr,excl
попытайтесь-ка	VERB,perf,intr plur,impr,excl
оскорбленным	PRTF,perf,tran,past,pssv masc,sing,ablt
оскорбленным	PRTF,perf,tran,past,pssv neut,sing,ablt
оскорбленным	PRTF,perf,tran,past,pssv plur,datv
свирепствует	VERB,impf,intr sing,3per,pres,indc
советовал	VERB,impf,intr masc,sing,past,indc
спасаю	VERB,impf,tran sing,1per,pres,indc
эдмунд	NOUN,anim,masc,Name sing,nomn
конюхам	NOUN,anim,masc plur,datv
ярком	NOUN,inan,masc sing,ablt
ярком	ADJF,Qual masc,sing,loct
ярком	ADJF,Qual neut,sing,loct
отчалила	VERB,perf,tran femn,sing,past,indc
драконовых	ADJF plur,gent
драконовых	ADJF anim,plur,accs
драконовых	ADJF plur,loct
драконовых	ADJF,Poss plur,gent
драконовых	ADJF,Poss anim,plur,accs
драконовых	ADJF,Poss plur,loct
подходящего	ADJF masc,sing,gent
подходящего	ADJF anim,masc,sing,accs
подходящего	ADJF neut,sing,gent
подходящего	PRTF,impf,intr,pres,actv masc,sing,gent
подходящего	PRTF,impf,intr,pres,actv anim,masc,sing,accs
подходящего	PRTF,impf,intr,pres,actv neut,sing,gent
некоторые	ADJF,Apro plur,nomn
некоторые	NPRO plur,nomn
некоторые	ADJF,Apro inan,plur,accs
некоторые	NPRO inan,plur,accs
дроком	NOUN,inan,masc sing,ablt
коляска	NOUN,inan,femn sing,nomn
подымалась	VERB,impf,intr femn,sing,past,indc
повторила	VERB,perf,tran femn,sing,past,indc
тщательно	ADVB
тщательно	ADJS,Qual neut,sing
прикажите	VERB,perf,tran plur,impr,excl
врагом	NOUN,anim,masc sing,ablt
северный	ADJF,Qual masc,sing,nomn
северный	ADJF,Qual inan,masc,sing,accs
платяных	ADJF plur,gent
платяных	ADJF anim,plur,accs
платяных	ADJF plur,loct
умрёте	VERB,perf,intr plur,2per,futr,indc
волноваться	INFN,impf,intr
беднейшему	ADJF,Supr,Qual masc,sing,datv
беднейшему	ADJF,Supr,Qual neut,sing,datv
вымощена	PRTS,perf,past,pssv femn,sing
выбросить	INFN,perf,tran
добрых	ADJF,Qual plur,gent
добрых	ADJF,Qual anim,plur,accs
добрых	ADJF,Qual plur,loct
покажи	VERB,perf,tran sing,impr,excl
баранина	NOUN,inan,femn sing,nomn
непонятное	ADJF,Qual neut,sing,nomn
непонятное	ADJF,Qual neut,sing,accs
новости	NOUN,inan,femn sing,gent
новости	NOUN,inan,femn plur,nomn
новости	NOUN,inan,femn plur,accs
новости	NOUN,inan,femn sing,datv
новости	NOUN,inan,femn sing,loct
холоде	NOUN,inan,masc sing,loct
попозже	COMP,Qual Cmp2
закружилась	VERB,perf,intr femn,sing,past,indc
флейту	NOUN,inan,femn sing,accs
какому-нибудь	ADJF,Apro masc,sing,datv
какому-нибудь	ADJF,Apro neut,sing,datv
ручей	NOUN,inan,masc sing,accs
ручей	NOUN,inan,masc sing,nomn
сплёвывал	VERB,impf,tran masc,sing,past,indc
отец	NOUN,anim,masc sing,nomn
захлопала	VERB,perf,intr femn,sing,past,indc
сейчас…	UNKN
поцарапал	VERB,perf,tran masc,sing,past,indc
напустил	VERB,perf,tran masc,sing,past,indc
возмутились	VERB,perf,intr plur,past,indc
вынырнет	VERB,perf,intr sing,3per,futr,indc
кавалькады	NOUN,inan,femn sing,gent
кавалькады	NOUN,inan,femn plur,nomn
кавалькады	NOUN,inan,femn plur,accs
зальёт	VERB,perf,tran sing,3per,futr,indc
по-писаному	ADVB
меня	NPRO,1per sing,accs
меня	NPRO,1per sing,gent
солонки	NOUN,inan,femn sing,gent
солонки	NOUN,inan,femn plur,nomn
солонки	NOUN,inan,femn plur,accs
серебристая	ADJF,Qual femn,sing,nomn
кончилось	VERB,perf,intr neut,sing,past,indc
лучами	NOUN,inan,masc plur,ablt
хозяйки	NOUN,anim,femn sing,gent
хозяйки	NOUN,anim,femn plur,nomn
отсюда!	UNKN
суток	NOUN,inan,GNdr,Pltm plur,gent
нечестивый	ADJF,Qual masc,sing,nomn
нечестивый	ADJF,Qual inan,masc,sing,accs
оправданий	NOUN,inan,neut plur,gent
закрутился	VERB,perf,intr masc,sing,past,indc
печальным	ADJF,Qual plur,datv
печальным	ADJF,Qual masc,sing,ablt
печальным	ADJF,Qual neut,sing,ablt
теперь-то	ADVB
серебру	NOUN,inan,neut,Sgtm sing,datv
сошёл	VERB,perf,intr masc,sing,past,indc
кривые	NOUN,inan,femn plur,nomn
кривые	NOUN,inan,femn plur,accs
кривые	ADJF,Subx,Qual plur,nomn
кривые	ADJF,Subx,Qual inan,plur,accs
проснулась	VERB,perf,intr femn,sing,past,indc
отведите	VERB,perf,tran plur,impr,excl
недель	NOUN,inan,femn plur,gent
кэр-параваль	NOUN,anim,femn,Ms-f,Name plur,gent
кэр-параваль	NOUN,anim,femn,Ms-f,Name plur,accs
ведите	VERB,impf,tran plur,impr,excl
вошли	VERB,perf,intr plur,past,indc
доить	INFN,impf,tran
бури	NOUN,inan,femn sing,gent
бури	NOUN,inan,femn plur,nomn
бури	NOUN,inan,femn plur,accs
бури	VERB,impf,tran sing,impr,excl
первую	ADJF,Anum femn,sing,accs
заваленные	PRTF,perf,tran,past,pssv plur,nomn
